"community","pagerank","pr score","degree centrality","dc score","eigen","eigen score"
"3519","9201009.0","0.5","9201009.0","1.0","k > components","not defined"
"3520","210292.0","0.05822189577084447","210292.0","0.13043478260869565","210292.0","0.553554216290407"
"3521","210153.0","0.015716673781140774","210153.0","0.035928143712574856","209225.0","0.38987765113511796"
"3522","112218.0","0.008453962436394463","112218.0","0.02127659574468085","112218.0","0.5132948703775554"
"3523","9503074.0","0.4797305739863631","9503074.0","1.0","9503074.0","0.7071067811865476"
"3524","208114.0","0.02456214747137425","208114.0","0.0594059405940594","209225.0","0.47733262327860054"
"3525","9905203.0","0.357556987250496","9905203.0","0.75","9905203.0","0.6532814824381883"
"3526","9804130.0","0.5","9804130.0","1.0","k > components","not defined"
"3527","205026.0","0.357556987250496","205026.0","0.75","205026.0","0.653281482438188"
"3528","303009.0","0.48648582432442095","303009.0","1.0","303009.0","0.7071067811865476"
"3529","205039.0","0.16844059871436393","205039.0","0.3333333333333333","210123.0","0.5000000000000003"
